drift_field; D; D_plus; D_minus
9.970242696779245; 48.40664608852609; 71.96416099015404; 24.849431597709852
21.174006187374857; 56.46406460835195; 73.04834360988653; 39.69132789089085
47.25304314138346; 54.15330464410083; 65.83798344235743; 42.6576843833943
137.98876772710062; 55.97209183558513; 66.90263935932389; 45.230002027773
315.54038976756215; 55.26172040265065; 59.87833362122706; 50.36212019937268
561.9694826531345; 60.50308797280282; 69.45482947931299; 51.45711760832944
761.1103797634605; 85.81280788177337; 64.23645320197045; 112.7093596059113
1164.258635566217; 83.84236453201967; 0; 0
1867.9786312587712; 76.74876847290638; 0; 0
2619.991518956619; 61.77339901477832; 48.27586206896552; 79.11330049261082
3755.314615720966; 61.08374384236453; 0; 0
5221.639981742668; 54.67980295566498; 0; 0
7419.693800257723; 45.91133004926105; 0; 0